CUDA Batch Image Processing Pipeline
Input directory: input
Output directory: output

Processed: image_044.ppm -> output/processed_image_044.ppm (256x256)
Processed: image_039.ppm -> output/processed_image_039.ppm (256x256)
Processed: image_062.ppm -> output/processed_image_062.ppm (256x256)
Processed: image_000.ppm -> output/processed_image_000.ppm (256x256)
Processed: image_011.ppm -> output/processed_image_011.ppm (256x256)
Processed: image_093.ppm -> output/processed_image_093.ppm (256x256)
Processed: image_012.ppm -> output/processed_image_012.ppm (256x256)
Processed: image_045.ppm -> output/processed_image_045.ppm (256x256)
Processed: image_074.ppm -> output/processed_image_074.ppm (256x256)
Processed: image_071.ppm -> output/processed_image_071.ppm (256x256)
Processed: image_001.ppm -> output/processed_image_001.ppm (256x256)
Processed: image_013.ppm -> output/processed_image_013.ppm (256x256)
Processed: image_029.ppm -> output/processed_image_029.ppm (256x256)
Processed: image_042.ppm -> output/processed_image_042.ppm (256x256)
Processed: image_083.ppm -> output/processed_image_083.ppm (256x256)
Processed: image_038.ppm -> output/processed_image_038.ppm (256x256)
Processed: image_014.ppm -> output/processed_image_014.ppm (256x256)
Processed: image_080.ppm -> output/processed_image_080.ppm (256x256)
Processed: image_009.ppm -> output/processed_image_009.ppm (256x256)
Processed: image_103.ppm -> output/processed_image_103.ppm (256x256)
Processed: image_067.ppm -> output/processed_image_067.ppm (256x256)
Processed: image_078.ppm -> output/processed_image_078.ppm (256x256)
Processed: image_003.ppm -> output/processed_image_003.ppm (256x256)
Processed: image_056.ppm -> output/processed_image_056.ppm (256x256)
Processed: image_105.ppm -> output/processed_image_105.ppm (256x256)
Processed: image_036.ppm -> output/processed_image_036.ppm (256x256)
Processed: image_061.ppm -> output/processed_image_061.ppm (256x256)
Processed: image_064.ppm -> output/processed_image_064.ppm (256x256)
Processed: image_114.ppm -> output/processed_image_114.ppm (256x256)
Processed: image_015.ppm -> output/processed_image_015.ppm (256x256)
Processed: image_068.ppm -> output/processed_image_068.ppm (256x256)
Processed: image_110.ppm -> output/processed_image_110.ppm (256x256)
Processed: image_019.ppm -> output/processed_image_019.ppm (256x256)
Processed: image_116.ppm -> output/processed_image_116.ppm (256x256)
Processed: image_016.ppm -> output/processed_image_016.ppm (256x256)
Processed: image_006.ppm -> output/processed_image_006.ppm (256x256)
Processed: image_047.ppm -> output/processed_image_047.ppm (256x256)
Processed: image_081.ppm -> output/processed_image_081.ppm (256x256)
Processed: image_117.ppm -> output/processed_image_117.ppm (256x256)
Processed: image_031.ppm -> output/processed_image_031.ppm (256x256)
Processed: image_092.ppm -> output/processed_image_092.ppm (256x256)
Processed: image_049.ppm -> output/processed_image_049.ppm (256x256)
Processed: image_028.ppm -> output/processed_image_028.ppm (256x256)
Processed: image_060.ppm -> output/processed_image_060.ppm (256x256)
Processed: image_095.ppm -> output/processed_image_095.ppm (256x256)
Processed: image_032.ppm -> output/processed_image_032.ppm (256x256)
Processed: image_072.ppm -> output/processed_image_072.ppm (256x256)
Processed: image_026.ppm -> output/processed_image_026.ppm (256x256)
Processed: image_054.ppm -> output/processed_image_054.ppm (256x256)
Processed: image_040.ppm -> output/processed_image_040.ppm (256x256)
Processed: image_111.ppm -> output/processed_image_111.ppm (256x256)
Processed: image_079.ppm -> output/processed_image_079.ppm (256x256)
Processed: image_008.ppm -> output/processed_image_008.ppm (256x256)
Processed: image_106.ppm -> output/processed_image_106.ppm (256x256)
Processed: image_097.ppm -> output/processed_image_097.ppm (256x256)
Processed: image_041.ppm -> output/processed_image_041.ppm (256x256)
Processed: image_076.ppm -> output/processed_image_076.ppm (256x256)
Processed: image_007.ppm -> output/processed_image_007.ppm (256x256)
Processed: image_099.ppm -> output/processed_image_099.ppm (256x256)
Processed: image_027.ppm -> output/processed_image_027.ppm (256x256)
Processed: image_035.ppm -> output/processed_image_035.ppm (256x256)
Processed: image_077.ppm -> output/processed_image_077.ppm (256x256)
Processed: image_066.ppm -> output/processed_image_066.ppm (256x256)
Processed: image_055.ppm -> output/processed_image_055.ppm (256x256)
Processed: image_065.ppm -> output/processed_image_065.ppm (256x256)
Processed: image_052.ppm -> output/processed_image_052.ppm (256x256)
Processed: image_017.ppm -> output/processed_image_017.ppm (256x256)
Processed: image_102.ppm -> output/processed_image_102.ppm (256x256)
Processed: image_048.ppm -> output/processed_image_048.ppm (256x256)
Processed: image_059.ppm -> output/processed_image_059.ppm (256x256)
Processed: image_053.ppm -> output/processed_image_053.ppm (256x256)
Processed: image_087.ppm -> output/processed_image_087.ppm (256x256)
Processed: image_115.ppm -> output/processed_image_115.ppm (256x256)
Processed: image_075.ppm -> output/processed_image_075.ppm (256x256)
Processed: image_033.ppm -> output/processed_image_033.ppm (256x256)
Processed: image_002.ppm -> output/processed_image_002.ppm (256x256)
Processed: image_089.ppm -> output/processed_image_089.ppm (256x256)
Processed: image_090.ppm -> output/processed_image_090.ppm (256x256)
Processed: image_046.ppm -> output/processed_image_046.ppm (256x256)
Processed: image_037.ppm -> output/processed_image_037.ppm (256x256)
Processed: image_023.ppm -> output/processed_image_023.ppm (256x256)
Processed: image_022.ppm -> output/processed_image_022.ppm (256x256)
Processed: image_088.ppm -> output/processed_image_088.ppm (256x256)
Processed: image_025.ppm -> output/processed_image_025.ppm (256x256)
Processed: image_091.ppm -> output/processed_image_091.ppm (256x256)
Processed: image_108.ppm -> output/processed_image_108.ppm (256x256)
Processed: image_096.ppm -> output/processed_image_096.ppm (256x256)
Processed: image_050.ppm -> output/processed_image_050.ppm (256x256)
Processed: image_063.ppm -> output/processed_image_063.ppm (256x256)
Processed: image_073.ppm -> output/processed_image_073.ppm (256x256)
Processed: image_030.ppm -> output/processed_image_030.ppm (256x256)
Processed: image_109.ppm -> output/processed_image_109.ppm (256x256)
Processed: image_004.ppm -> output/processed_image_004.ppm (256x256)
Processed: image_085.ppm -> output/processed_image_085.ppm (256x256)
Processed: image_107.ppm -> output/processed_image_107.ppm (256x256)
Processed: image_021.ppm -> output/processed_image_021.ppm (256x256)
Processed: image_112.ppm -> output/processed_image_112.ppm (256x256)
Processed: image_084.ppm -> output/processed_image_084.ppm (256x256)
Processed: image_118.ppm -> output/processed_image_118.ppm (256x256)
Processed: image_043.ppm -> output/processed_image_043.ppm (256x256)
Processed: image_119.ppm -> output/processed_image_119.ppm (256x256)
Processed: image_100.ppm -> output/processed_image_100.ppm (256x256)
Processed: image_113.ppm -> output/processed_image_113.ppm (256x256)
Processed: image_101.ppm -> output/processed_image_101.ppm (256x256)
Processed: image_070.ppm -> output/processed_image_070.ppm (256x256)
Processed: image_051.ppm -> output/processed_image_051.ppm (256x256)
Processed: image_086.ppm -> output/processed_image_086.ppm (256x256)
Processed: image_005.ppm -> output/processed_image_005.ppm (256x256)
Processed: image_069.ppm -> output/processed_image_069.ppm (256x256)
Processed: image_094.ppm -> output/processed_image_094.ppm (256x256)
Processed: image_024.ppm -> output/processed_image_024.ppm (256x256)
Processed: image_018.ppm -> output/processed_image_018.ppm (256x256)
Processed: image_058.ppm -> output/processed_image_058.ppm (256x256)
Processed: image_057.ppm -> output/processed_image_057.ppm (256x256)
Processed: image_010.ppm -> output/processed_image_010.ppm (256x256)
Processed: image_020.ppm -> output/processed_image_020.ppm (256x256)
Processed: image_034.ppm -> output/processed_image_034.ppm (256x256)
Processed: image_098.ppm -> output/processed_image_098.ppm (256x256)
Processed: image_082.ppm -> output/processed_image_082.ppm (256x256)
Processed: image_104.ppm -> output/processed_image_104.ppm (256x256)

Total images processed: 120
Total execution time: 478.897 ms
